Model,Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Location
MarutiWagonR1.0LXI,312165,82238,2014,First Owner,Petrol + CNG,MANUAL,Delhi
ToyotaEtiosLiva,313799,30558,2013,First Owner,Petrol,MANUAL,Coimbatore
MarutiAlto800,295999,22164,2018,First Owner,Petrol,MANUAL,Mumbai
MarutiSwift,435199,30535,2013,First Owner,Diesel,MANUAL,Hyderabad
MarutiWagonR1.0,289099,15738,2013,First Owner,Petrol,MANUAL,Mumbai
HyundaiElitei20ASTA1.2,708199,32652,2018,First Owner,Petrol,MANUAL,Coimbatore
HyundaiGrandi10SPORTZ1.2KAPPA,410788,32496,2013,First Owner,Petrol,MANUAL,Pune
HyundaiElitei20ASTA,606599,27487,2015,First Owner,Petrol,MANUAL,Jaipur
MarutiCelerio,459199,41383,2018,First Owner,Petrol,MANUAL,Mumbai
MarutiWagonR1.0,265899,65476,2012,First Owner,Petrol + CNG,MANUAL,Coimbatore
MarutiSwiftDzireVXI1.2BS,426999,27992,2013,First Owner,Petrol,MANUAL,Mumbai
MarutiDzire,671499,14061,2018,First Owner,Petrol,MANUAL,Jaipur
HondaCivic1.8S,146870,52138,2007,Third Owner,Petrol,MANUAL,Chennai
MarutiAltoK10VXI,290099,46410,2014,Second Owner,Petrol,MANUAL,Coimbatore
MarutiAlto800LXI,285399,47168,2016,First Owner,Petrol + CNG,MANUAL,Mumbai
HyundaiVernaFLUIDIC1.6EX,529699,72813,2013,First Owner,Petrol + CNG,MANUAL,Coimbatore
ToyotaEtiosCROSS1.4,424399,79123,2015,First Owner,Diesel,MANUAL,Hyderabad
HondaCitySVCVT,615799,72097,2016,First Owner,Petrol,MANUAL,Chennai
VolkswagenVentoHIGHLINE,413999,151201,2014,First Owner,Diesel,MANUAL,Kochi
Hyundaii20MAGNAO,328199,73356,2012,First Owner,Petrol,MANUAL,Jaipur
VolkswagenPoloGT,948899,14516,2018,First Owner,Petrol,MANUAL,Pune
MahindraTUV300,656399,34658,2016,First Owner,Diesel,MANUAL,Delhi
HondaAmaze1.5VCVT,698899,53486,2018,First Owner,Diesel,MANUAL,Kochi
TataNanoXT,100599,35905,2014,First Owner,Petrol,MANUAL,Bangalore
